,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
0,15_PHL,stocks,2w,road,passenger,stocks,2010,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
1,15_PHL,stocks,2w,road,passenger,stocks,2011,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
2,15_PHL,stocks,2w,road,passenger,stocks,2012,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
3,15_PHL,stocks,2w,road,passenger,stocks,2013,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
4,15_PHL,stocks,2w,road,passenger,stocks,2014,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
5,15_PHL,stocks,2w,road,passenger,stocks,2015,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
6,15_PHL,stocks,2w,road,passenger,stocks,2016,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
7,15_PHL,stocks,2w,road,passenger,stocks,2017,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
8,15_PHL,stocks,2w,road,passenger,stocks,2018,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
9,15_PHL,stocks,2w,road,passenger,stocks,2019,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
10,15_PHL,stocks,2w,road,passenger,stocks,2020,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
11,15_PHL,stocks,3w,road,passenger,stocks,2020,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
12,15_PHL,stocks,3w,road,passenger,stocks,2021,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
13,15_PHL,stocks,bus,road,passenger,stocks,1992,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
