transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,17_SIN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,17_SIN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,17_SIN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,17_SIN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,17_SIN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,17_SIN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,18_CT,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,18_CT,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,18_CT,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,18_CT,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,18_CT,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,18_CT,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,19_THA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,19_THA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,19_THA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,19_THA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,19_THA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,19_THA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,20_USA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,20_USA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,20_USA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,20_USA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,20_USA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,20_USA,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,21_VN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,21_VN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,21_VN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,21_VN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,21_VN,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,21_VN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,01_AUS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,01_AUS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,01_AUS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,01_AUS,Yearly
