,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,dataset,value,dataset_selection_method,comment
0,2017,01_AUS,energy,2w,pj,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),156.0,single_datapoint,no_comment
1,2017,01_AUS,passenger_km,2w,passenger_km,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,597025.6556735648,single_datapoint,no_comment
2,2017,01_AUS,energy,2w,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),828807.0,single_datapoint,no_comment
3,2017,01_AUS,passenger_km,2w,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,3178048944.4498663,single_datapoint,no_comment
4,2017,01_AUS,energy,bus,pj,road,passenger,cng,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,0.0015168735021018,single_datapoint,no_comment
5,2017,01_AUS,passenger_km,bus,passenger_km,road,passenger,cng,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'passenger_km_est $ 8th/_passenger_km_est']",3,bus_passenger_km_est $ 8th/ato_country_official_statistics,57199.539342345546,single_datapoint,no_comment
6,2017,01_AUS,energy,bus,pj,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,9.894477196698402,single_datapoint,no_comment
7,2017,01_AUS,passenger_km,bus,passenger_km,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,6464577087.195246,single_datapoint,no_comment
8,2017,01_AUS,energy,bus,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),69220.0,single_datapoint,no_comment
9,2017,01_AUS,passenger_km,bus,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,passenger_km_est $ 8th/_passenger_km_est,15143051379.020184,single_datapoint,no_comment
10,2017,01_AUS,energy,bus,pj,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),1398.0,single_datapoint,no_comment
11,2017,01_AUS,passenger_km,bus,passenger_km,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,707828101.2618897,single_datapoint,no_comment
12,2011,01_AUS,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),49.0,Manual,no_comment
13,2011,01_AUS,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),49.0,Manual,no_comment
14,2012,01_AUS,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),222.0,Manual,no_comment
15,2012,01_AUS,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),222.0,Manual,no_comment
16,2013,01_AUS,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),413.0,Manual,no_comment
17,2013,01_AUS,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),413.0,Manual,no_comment
18,2014,01_AUS,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),784.0,Manual,no_comment
19,2014,01_AUS,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),784.0,Manual,no_comment
20,2015,01_AUS,energy,ldv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),1543.0,Manual,no_comment
