,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
0,07_INA,stocks,2w,road,passenger,stocks,1990,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
1,07_INA,stocks,2w,road,passenger,stocks,1991,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
2,07_INA,stocks,2w,road,passenger,stocks,1992,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
3,07_INA,stocks,2w,road,passenger,stocks,1993,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
4,07_INA,stocks,2w,road,passenger,stocks,1994,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
5,07_INA,stocks,2w,road,passenger,stocks,1995,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
6,07_INA,stocks,2w,road,passenger,stocks,1996,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
7,07_INA,stocks,2w,road,passenger,stocks,1997,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
8,07_INA,stocks,2w,road,passenger,stocks,1998,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
9,07_INA,stocks,2w,road,passenger,stocks,1999,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
10,07_INA,stocks,2w,road,passenger,stocks,2000,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
11,07_INA,stocks,2w,road,passenger,stocks,2001,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
12,07_INA,stocks,2w,road,passenger,stocks,2002,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
13,07_INA,stocks,2w,road,passenger,stocks,2003,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
14,07_INA,stocks,2w,road,passenger,stocks,2004,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
15,07_INA,stocks,2w,road,passenger,stocks,2005,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
16,07_INA,stocks,2w,road,passenger,stocks,2006,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
17,07_INA,stocks,2w,road,passenger,stocks,2007,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
18,07_INA,stocks,2w,road,passenger,stocks,2008,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
19,07_INA,stocks,2w,road,passenger,stocks,2009,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
20,07_INA,stocks,2w,road,passenger,stocks,2010,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
21,07_INA,stocks,2w,road,passenger,stocks,2011,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
22,07_INA,stocks,2w,road,passenger,stocks,2012,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
23,07_INA,stocks,2w,road,passenger,stocks,2013,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
24,07_INA,stocks,2w,road,passenger,stocks,2014,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
25,07_INA,stocks,2w,road,passenger,stocks,2015,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
