Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit
road,passenger,2w,bev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,2w,ice_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,2w,ice_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,bev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,cng,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,fcev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,ice_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,ice_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,lpg,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,phev_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,bus,phev_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,bev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,cng,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,fcev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,ice_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,ice_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,lpg,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,phev_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,car,phev_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,bev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,cng,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,fcev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,ice_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,ice_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,lpg,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,phev_d,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,lt,phev_g,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,bev,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
road,passenger,suv,cng,2017,01_AUS,Yearly,Activity,Passenger_km_or_freight_tonne_km
