Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,passenger,road,2w,bev,2023,,Reference
15_PHL,passenger,road,2w,bev,2024,0.025014544929121224,Reference
15_PHL,passenger,road,2w,bev,2025,0.025009044236444684,Reference
15_PHL,passenger,road,2w,bev,2026,0.025012787594007012,Reference
15_PHL,passenger,road,2w,bev,2027,0.025005119258540084,Reference
15_PHL,passenger,road,2w,bev,2028,0.02500319777063819,Reference
15_PHL,passenger,road,2w,bev,2029,0.02499617404503584,Reference
15_PHL,passenger,road,2w,bev,2030,0.025006857033890797,Reference
15_PHL,passenger,road,2w,bev,2031,0.15015897910328335,Reference
15_PHL,passenger,road,2w,bev,2032,0.15017534095944124,Reference
15_PHL,passenger,road,2w,bev,2033,0.15017464804263278,Reference
15_PHL,passenger,road,2w,bev,2034,0.15017172020125175,Reference
15_PHL,passenger,road,2w,bev,2035,0.15017519041160254,Reference
15_PHL,passenger,road,2w,bev,2036,0.15016648013318495,Reference
15_PHL,passenger,road,2w,bev,2037,0.15018133961228378,Reference
15_PHL,passenger,road,2w,bev,2038,0.15019317452431005,Reference
15_PHL,passenger,road,2w,bev,2039,0.1501747345240686,Reference
15_PHL,passenger,road,2w,bev,2040,0.15016139320919072,Reference
15_PHL,passenger,road,2w,bev,2041,0.19633833229893713,Reference
15_PHL,passenger,road,2w,bev,2042,0.19633036800086315,Reference
15_PHL,passenger,road,2w,bev,2043,0.19634410828692964,Reference
15_PHL,passenger,road,2w,bev,2044,0.19632818507077732,Reference
15_PHL,passenger,road,2w,bev,2045,0.1963409823780074,Reference
15_PHL,passenger,road,2w,bev,2046,0.19634699442643935,Reference
15_PHL,passenger,road,2w,bev,2047,0.19632634290197387,Reference
15_PHL,passenger,road,2w,bev,2048,0.19632396611916983,Reference
15_PHL,passenger,road,2w,bev,2049,0.19634477478785828,Reference
15_PHL,passenger,road,2w,bev,2050,0.19633870631200437,Reference
15_PHL,passenger,road,bus,bev,2023,,Reference
15_PHL,passenger,road,bus,bev,2024,0.20132956834132143,Reference
15_PHL,passenger,road,bus,bev,2025,0.20061711033090932,Reference
15_PHL,passenger,road,bus,bev,2026,0.20045348226580179,Reference
15_PHL,passenger,road,bus,bev,2027,0.20098276760650588,Reference
15_PHL,passenger,road,bus,bev,2028,0.20082937158472136,Reference
15_PHL,passenger,road,bus,bev,2029,0.20037077313102683,Reference
15_PHL,passenger,road,bus,bev,2030,0.20078855824214886,Reference
15_PHL,passenger,road,bus,bev,2031,0.20059074526903412,Reference
15_PHL,passenger,road,bus,bev,2032,0.20129995291250952,Reference
15_PHL,passenger,road,bus,bev,2033,0.20088980806393045,Reference
15_PHL,passenger,road,bus,bev,2034,0.20096097939548915,Reference
15_PHL,passenger,road,bus,bev,2035,0.20068300714533832,Reference
15_PHL,passenger,road,bus,bev,2036,0.2005606313488755,Reference
15_PHL,passenger,road,bus,bev,2037,0.20085163481201324,Reference
15_PHL,passenger,road,bus,bev,2038,0.2014626075974794,Reference
15_PHL,passenger,road,bus,bev,2039,0.2014596488938445,Reference
15_PHL,passenger,road,bus,bev,2040,0.2012897082388095,Reference
15_PHL,passenger,road,bus,bev,2041,0.23588128411052214,Reference
15_PHL,passenger,road,bus,bev,2042,0.23472751432981423,Reference
15_PHL,passenger,road,bus,bev,2043,0.2350212969246983,Reference
15_PHL,passenger,road,bus,bev,2044,0.23438490367263282,Reference
15_PHL,passenger,road,bus,bev,2045,0.2355777971621944,Reference
15_PHL,passenger,road,bus,bev,2046,0.23493840349212824,Reference
15_PHL,passenger,road,bus,bev,2047,0.2347396320819869,Reference
15_PHL,passenger,road,bus,bev,2048,0.23568347501233453,Reference
15_PHL,passenger,road,bus,bev,2049,0.23481362617888557,Reference
15_PHL,passenger,road,bus,bev,2050,0.23466471788182028,Reference
15_PHL,passenger,road,car,bev,2023,,Reference
15_PHL,passenger,road,car,bev,2024,0.025014544929121224,Reference
15_PHL,passenger,road,car,bev,2025,0.025009044236444684,Reference
15_PHL,passenger,road,car,bev,2026,0.025012787594007012,Reference
15_PHL,passenger,road,car,bev,2027,0.025005119258540084,Reference
15_PHL,passenger,road,car,bev,2028,0.02500319777063819,Reference
15_PHL,passenger,road,car,bev,2029,0.02499617404503584,Reference
15_PHL,passenger,road,car,bev,2030,0.025006857033890797,Reference
15_PHL,passenger,road,car,bev,2031,0.15015897910328335,Reference
15_PHL,passenger,road,car,bev,2032,0.15017534095944124,Reference
15_PHL,passenger,road,car,bev,2033,0.15017464804263278,Reference
15_PHL,passenger,road,car,bev,2034,0.15017172020125175,Reference
15_PHL,passenger,road,car,bev,2035,0.15017519041160254,Reference
15_PHL,passenger,road,car,bev,2036,0.15016648013318495,Reference
15_PHL,passenger,road,car,bev,2037,0.15018133961228378,Reference
15_PHL,passenger,road,car,bev,2038,0.15019317452431005,Reference
15_PHL,passenger,road,car,bev,2039,0.1501747345240686,Reference
15_PHL,passenger,road,car,bev,2040,0.15016139320919072,Reference
15_PHL,passenger,road,car,bev,2041,0.19633833229893713,Reference
15_PHL,passenger,road,car,bev,2042,0.19633036800086315,Reference
15_PHL,passenger,road,car,bev,2043,0.19634410828692964,Reference
15_PHL,passenger,road,car,bev,2044,0.19632818507077732,Reference
15_PHL,passenger,road,car,bev,2045,0.1963409823780074,Reference
15_PHL,passenger,road,car,bev,2046,0.19634699442643935,Reference
15_PHL,passenger,road,car,bev,2047,0.19632634290197387,Reference
15_PHL,passenger,road,car,bev,2048,0.19632396611916983,Reference
15_PHL,passenger,road,car,bev,2049,0.19634477478785828,Reference
15_PHL,passenger,road,car,bev,2050,0.19633870631200437,Reference
15_PHL,passenger,road,car,phev_d,2023,,Reference
15_PHL,passenger,road,car,phev_d,2024,0.0005257433624679263,Reference
15_PHL,passenger,road,car,phev_d,2025,0.0005256277516234413,Reference
15_PHL,passenger,road,car,phev_d,2026,0.0005257064276656125,Reference
15_PHL,passenger,road,car,phev_d,2027,0.0005255452583745325,Reference
15_PHL,passenger,road,car,phev_d,2028,0.0005255048734899245,Reference
15_PHL,passenger,road,car,phev_d,2029,0.0005253572522909103,Reference
15_PHL,passenger,road,car,phev_d,2030,0.0005255817820793885,Reference
15_PHL,passenger,road,car,phev_d,2031,0.0005261371396399099,Reference
15_PHL,passenger,road,car,phev_d,2032,0.000526051869285779,Reference
15_PHL,passenger,road,car,phev_d,2033,0.0005261983380195349,Reference
15_PHL,passenger,road,car,phev_d,2034,0.0005257903736628804,Reference
15_PHL,passenger,road,car,phev_d,2035,0.0005262004917283235,Reference
15_PHL,passenger,road,car,phev_d,2036,0.0005260704785656331,Reference
15_PHL,passenger,road,car,phev_d,2037,0.0005261224788379665,Reference
15_PHL,passenger,road,car,phev_d,2038,0.0005260647755054655,Reference
15_PHL,passenger,road,car,phev_d,2039,0.0005260497449925405,Reference
15_PHL,passenger,road,car,phev_d,2040,0.000526300020504601,Reference
15_PHL,passenger,road,car,phev_d,2041,0.0006879056073286217,Reference
15_PHL,passenger,road,car,phev_d,2042,0.0006880264654162672,Reference
15_PHL,passenger,road,car,phev_d,2043,0.0006881243512034789,Reference
15_PHL,passenger,road,car,phev_d,2044,0.0006877214866977389,Reference
15_PHL,passenger,road,car,phev_d,2045,0.0006877167172724829,Reference
