Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,passenger,road,2w,bev,2023,,Target
15_PHL,passenger,road,2w,bev,2024,0.09121845331296084,Target
15_PHL,passenger,road,2w,bev,2025,0.1101931667514437,Target
15_PHL,passenger,road,2w,bev,2026,0.10796725640235676,Target
15_PHL,passenger,road,2w,bev,2027,0.10719036094369402,Target
15_PHL,passenger,road,2w,bev,2028,0.10994845730068828,Target
15_PHL,passenger,road,2w,bev,2029,0.11147438009326498,Target
15_PHL,passenger,road,2w,bev,2030,0.11332041062718112,Target
15_PHL,passenger,road,2w,bev,2031,0.5608133264006516,Target
15_PHL,passenger,road,2w,bev,2032,0.5608420805888877,Target
15_PHL,passenger,road,2w,bev,2033,0.5878616989611127,Target
15_PHL,passenger,road,2w,bev,2034,0.6148786837073862,Target
15_PHL,passenger,road,2w,bev,2035,0.6418885891272221,Target
15_PHL,passenger,road,2w,bev,2036,0.6689246999873334,Target
15_PHL,passenger,road,2w,bev,2037,0.6959567801736775,Target
15_PHL,passenger,road,2w,bev,2038,0.7229788637464598,Target
15_PHL,passenger,road,2w,bev,2039,0.750011087045393,Target
15_PHL,passenger,road,2w,bev,2040,0.749987338640897,Target
15_PHL,passenger,road,2w,bev,2041,0.750007622365811,Target
15_PHL,passenger,road,2w,bev,2042,0.7500108653936994,Target
15_PHL,passenger,road,2w,bev,2043,0.7500172245469867,Target
15_PHL,passenger,road,2w,bev,2044,0.7499861268580704,Target
15_PHL,passenger,road,2w,bev,2045,0.7499950844856892,Target
15_PHL,passenger,road,2w,bev,2046,0.7500333469786439,Target
15_PHL,passenger,road,2w,bev,2047,0.7499889766632786,Target
15_PHL,passenger,road,2w,bev,2048,0.750015479921115,Target
15_PHL,passenger,road,2w,bev,2049,0.7500161549500265,Target
15_PHL,passenger,road,2w,bev,2050,0.750018084994662,Target
15_PHL,passenger,road,bus,bev,2023,,Target
15_PHL,passenger,road,bus,bev,2024,0.6972652481545765,Target
15_PHL,passenger,road,bus,bev,2025,0.6979323225305197,Target
15_PHL,passenger,road,bus,bev,2026,0.6977074431122584,Target
15_PHL,passenger,road,bus,bev,2027,0.6967011973298411,Target
15_PHL,passenger,road,bus,bev,2028,0.6968606561292193,Target
15_PHL,passenger,road,bus,bev,2029,0.6964984060033598,Target
15_PHL,passenger,road,bus,bev,2030,0.7040307675072814,Target
15_PHL,passenger,road,bus,bev,2031,0.3045513973021548,Target
15_PHL,passenger,road,bus,bev,2032,0.30298047520278737,Target
15_PHL,passenger,road,bus,bev,2033,0.30307251320371514,Target
15_PHL,passenger,road,bus,bev,2034,0.30283703145014684,Target
15_PHL,passenger,road,bus,bev,2035,0.4006691982936442,Target
15_PHL,passenger,road,bus,bev,2036,0.4004248716166785,Target
15_PHL,passenger,road,bus,bev,2037,0.40100828126827553,Target
15_PHL,passenger,road,bus,bev,2038,0.40084111925429516,Target
15_PHL,passenger,road,bus,bev,2039,0.4008352324543044,Target
15_PHL,passenger,road,bus,bev,2040,0.4032735189198218,Target
15_PHL,passenger,road,bus,bev,2041,0.40446702540127766,Target
15_PHL,passenger,road,bus,bev,2042,0.4062591594169862,Target
15_PHL,passenger,road,bus,bev,2043,0.40815828785443165,Target
15_PHL,passenger,road,bus,bev,2044,0.4103474574684076,Target
15_PHL,passenger,road,bus,bev,2045,0.41208741509493,Target
15_PHL,passenger,road,bus,bev,2046,0.41357500023022575,Target
15_PHL,passenger,road,bus,bev,2047,0.4160030757902667,Target
15_PHL,passenger,road,bus,bev,2048,0.41868476149250017,Target
15_PHL,passenger,road,bus,bev,2049,0.41906266618945653,Target
15_PHL,passenger,road,bus,bev,2050,0.4215658206195532,Target
15_PHL,passenger,road,car,bev,2023,,Target
15_PHL,passenger,road,car,bev,2024,0.09121845331296084,Target
15_PHL,passenger,road,car,bev,2025,0.1101931667514437,Target
15_PHL,passenger,road,car,bev,2026,0.10796725640235676,Target
15_PHL,passenger,road,car,bev,2027,0.10719036094369402,Target
15_PHL,passenger,road,car,bev,2028,0.10994845730068828,Target
15_PHL,passenger,road,car,bev,2029,0.11147438009326498,Target
15_PHL,passenger,road,car,bev,2030,0.11332041062718112,Target
15_PHL,passenger,road,car,bev,2031,0.5608133264006516,Target
15_PHL,passenger,road,car,bev,2032,0.5608420805888877,Target
15_PHL,passenger,road,car,bev,2033,0.5878616989611127,Target
15_PHL,passenger,road,car,bev,2034,0.6148786837073862,Target
15_PHL,passenger,road,car,bev,2035,0.6418885891272221,Target
15_PHL,passenger,road,car,bev,2036,0.6689246999873334,Target
15_PHL,passenger,road,car,bev,2037,0.6959567801736775,Target
15_PHL,passenger,road,car,bev,2038,0.7229788637464598,Target
15_PHL,passenger,road,car,bev,2039,0.750011087045393,Target
15_PHL,passenger,road,car,bev,2040,0.749987338640897,Target
15_PHL,passenger,road,car,bev,2041,0.750007622365811,Target
15_PHL,passenger,road,car,bev,2042,0.7500108653936994,Target
15_PHL,passenger,road,car,bev,2043,0.7500172245469867,Target
15_PHL,passenger,road,car,bev,2044,0.7499861268580704,Target
15_PHL,passenger,road,car,bev,2045,0.7499950844856892,Target
15_PHL,passenger,road,car,bev,2046,0.7500333469786439,Target
15_PHL,passenger,road,car,bev,2047,0.7499889766632786,Target
15_PHL,passenger,road,car,bev,2048,0.750015479921115,Target
15_PHL,passenger,road,car,bev,2049,0.7500161549500265,Target
15_PHL,passenger,road,car,bev,2050,0.750018084994662,Target
15_PHL,passenger,road,car,phev_d,2023,,Target
15_PHL,passenger,road,car,phev_d,2024,0.0019171844420822878,Target
15_PHL,passenger,road,car,phev_d,2025,0.002315985606496026,Target
15_PHL,passenger,road,car,phev_d,2026,0.002269202521103226,Target
15_PHL,passenger,road,car,phev_d,2027,0.002252874115694263,Target
15_PHL,passenger,road,car,phev_d,2028,0.0023108424240063036,Target
15_PHL,passenger,road,car,phev_d,2029,0.0023429135163291455,Target
15_PHL,passenger,road,car,phev_d,2030,0.0023817124752096514,Target
15_PHL,passenger,road,car,phev_d,2031,0.001964530490503707,Target
15_PHL,passenger,road,car,phev_d,2032,0.001964534677863773,Target
15_PHL,passenger,road,car,phev_d,2033,0.002059231186986465,Target
15_PHL,passenger,road,car,phev_d,2034,0.0021539192252152295,Target
15_PHL,passenger,road,car,phev_d,2035,0.0022482840737847926,Target
15_PHL,passenger,road,car,phev_d,2036,0.002343188213135487,Target
15_PHL,passenger,road,car,phev_d,2037,0.0024377801734392656,Target
15_PHL,passenger,road,car,phev_d,2038,0.0025324859401947676,Target
15_PHL,passenger,road,car,phev_d,2039,0.002627573895750876,Target
15_PHL,passenger,road,car,phev_d,2040,0.0026273419759501697,Target
15_PHL,passenger,road,car,phev_d,2041,0.0026271159716597598,Target
15_PHL,passenger,road,car,phev_d,2042,0.00262722638220317,Target
15_PHL,passenger,road,car,phev_d,2043,0.0026272486577941724,Target
15_PHL,passenger,road,car,phev_d,2044,0.0026270901274632794,Target
15_PHL,passenger,road,car,phev_d,2045,0.0026270719083000774,Target
15_PHL,passenger,road,car,phev_d,2046,0.0026275034429764153,Target
15_PHL,passenger,road,car,phev_d,2047,0.002627199251403794,Target
15_PHL,passenger,road,car,phev_d,2048,0.0026271930534072043,Target
15_PHL,passenger,road,car,phev_d,2049,0.0026268494650014108,Target
15_PHL,passenger,road,car,phev_d,2050,0.002627547800328772,Target
15_PHL,passenger,road,car,phev_g,2023,,Target
15_PHL,passenger,road,car,phev_g,2024,0.08930126887087855,Target
15_PHL,passenger,road,car,phev_g,2025,0.10787718114494765,Target
15_PHL,passenger,road,car,phev_g,2026,0.10569805388125353,Target
15_PHL,passenger,road,car,phev_g,2027,0.10493748682799975,Target
15_PHL,passenger,road,car,phev_g,2028,0.10763761487668197,Target
15_PHL,passenger,road,car,phev_g,2029,0.10913146657693581,Target
15_PHL,passenger,road,car,phev_g,2030,0.11093869815197147,Target
15_PHL,passenger,road,car,phev_g,2031,0.09150661860523308,Target
15_PHL,passenger,road,car,phev_g,2032,0.09150681364988236,Target
15_PHL,passenger,road,car,phev_g,2033,0.09591771863986566,Target
15_PHL,passenger,road,car,phev_g,2034,0.10032822906083434,Target
15_PHL,passenger,road,car,phev_g,2035,0.10472368550680762,Target
15_PHL,passenger,road,car,phev_g,2036,0.10914426178475341,Target
15_PHL,passenger,road,car,phev_g,2037,0.11355029695523318,Target
15_PHL,passenger,road,car,phev_g,2038,0.11796163316004304,Target
15_PHL,passenger,road,car,phev_g,2039,0.12239077148346666,Target
15_PHL,passenger,road,car,phev_g,2040,0.12237996880218847,Target
15_PHL,passenger,road,car,phev_g,2041,0.1223694416617314,Target
15_PHL,passenger,road,car,phev_g,2042,0.12237458451674674,Target
15_PHL,passenger,road,car,phev_g,2043,0.12237562210003695,Target
15_PHL,passenger,road,car,phev_g,2044,0.122368237854999,Target
15_PHL,passenger,road,car,phev_g,2045,0.12236738921761389,Target
15_PHL,passenger,road,car,phev_g,2046,0.12238748983668471,Target
15_PHL,passenger,road,car,phev_g,2047,0.12237332078084497,Target
15_PHL,passenger,road,car,phev_g,2048,0.1223730320819865,Target
15_PHL,passenger,road,car,phev_g,2049,0.12235702794595597,Target
15_PHL,passenger,road,car,phev_g,2050,0.12238955597479965,Target
15_PHL,freight,road,lcv,bev,2023,,Target
15_PHL,freight,road,lcv,bev,2024,0.08836473167121864,Target
15_PHL,freight,road,lcv,bev,2025,0.1077740056071179,Target
15_PHL,freight,road,lcv,bev,2026,0.12266430907558928,Target
15_PHL,freight,road,lcv,bev,2027,0.12107332355166064,Target
15_PHL,freight,road,lcv,bev,2028,0.1242869822934845,Target
15_PHL,freight,road,lcv,bev,2029,0.12737557433916546,Target
15_PHL,freight,road,lcv,bev,2030,0.13119148718275933,Target
15_PHL,freight,road,lcv,bev,2031,0.6759092114153147,Target
15_PHL,freight,road,lcv,bev,2032,0.6849596487807976,Target
15_PHL,freight,road,lcv,bev,2033,0.7175427164967924,Target
15_PHL,freight,road,lcv,bev,2034,0.7487053322174996,Target
15_PHL,freight,road,lcv,bev,2035,0.77934003354703,Target
15_PHL,freight,road,lcv,bev,2036,0.8099236692575034,Target
15_PHL,freight,road,lcv,bev,2037,0.8405266745876739,Target
15_PHL,freight,road,lcv,bev,2038,0.8571428571428572,Target
15_PHL,freight,road,lcv,bev,2039,0.8571419627484739,Target
15_PHL,freight,road,lcv,bev,2040,0.8571402609675426,Target
15_PHL,freight,road,lcv,bev,2041,0.7499990819921439,Target
15_PHL,freight,road,lcv,bev,2042,0.7500066107536862,Target
15_PHL,freight,road,lcv,bev,2043,0.7499965258607825,Target
15_PHL,freight,road,lcv,bev,2044,0.7499954173515203,Target
15_PHL,freight,road,lcv,bev,2045,0.7499985018608039,Target
15_PHL,freight,road,lcv,bev,2046,0.7500085329827837,Target
15_PHL,freight,road,lcv,bev,2047,0.7500078889594689,Target
15_PHL,freight,road,lcv,bev,2048,0.7499986440116129,Target
15_PHL,freight,road,lcv,bev,2049,0.7499919806327191,Target
15_PHL,freight,road,lcv,bev,2050,0.7499949099984855,Target
15_PHL,freight,road,lcv,phev_d,2023,,Target
15_PHL,freight,road,lcv,phev_d,2024,0.061251296480901746,Target
15_PHL,freight,road,lcv,phev_d,2025,0.07470511645910492,Target
15_PHL,freight,road,lcv,phev_d,2026,0.08502654645938416,Target
15_PHL,freight,road,lcv,phev_d,2027,0.08392373174835714,Target
15_PHL,freight,road,lcv,phev_d,2028,0.08615132595547006,Target
15_PHL,freight,road,lcv,phev_d,2029,0.0882922283666543,Target
15_PHL,freight,road,lcv,phev_d,2030,0.09093728374686971,Target
15_PHL,freight,road,lcv,phev_d,2031,0.07808954344526788,Target
15_PHL,freight,road,lcv,phev_d,2032,0.07913522592926178,Target
15_PHL,freight,road,lcv,phev_d,2033,0.08289585832611805,Target
15_PHL,freight,road,lcv,phev_d,2034,0.0865005707793965,Target
15_PHL,freight,road,lcv,phev_d,2035,0.09003788593943934,Target
15_PHL,freight,road,lcv,phev_d,2036,0.09356930450057827,Target
15_PHL,freight,road,lcv,phev_d,2037,0.09710114115176928,Target
15_PHL,freight,road,lcv,phev_d,2038,0.0990235023189396,Target
15_PHL,freight,road,lcv,phev_d,2039,0.09902412228138953,Target
15_PHL,freight,road,lcv,phev_d,2040,0.09902530189554554,Target
15_PHL,freight,road,lcv,phev_d,2041,0.08664272595456772,Target
15_PHL,freight,road,lcv,phev_d,2042,0.08664723965703121,Target
15_PHL,freight,road,lcv,phev_d,2043,0.08664607508109712,Target
