,vehicle_type,drive,transport_type,economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,value
0,2w,bev,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
1,bus,bev,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
2,lcv,bev,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
3,2w,cng,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
4,bus,cng,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
5,lcv,cng,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,99069.2
6,2w,phev_g,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
7,bus,phev_g,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
8,lcv,phev_g,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
9,2w,phev_d,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
10,bus,phev_d,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
11,lcv,phev_d,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
12,2w,lpg,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
13,bus,lpg,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
14,lcv,lpg,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
15,2w,ice_g,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,17824588.0
16,bus,ice_g,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,106244.8
17,lcv,ice_g,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
18,2w,ice_d,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
19,bus,ice_d,passenger,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,0.0
20,lcv,ice_d,freight,19_THA,2017,road,stocks,9th_model_first_iteration $ thanan,stocks,all,no_comment,national,yearly,5569658.800000001
21,all,all,passenger,19_THA,2018,rail,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,330768715659.77
22,all,all,passenger,19_THA,1995,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12975000000.0
23,all,all,passenger,19_THA,1996,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12205000000.0
24,all,all,passenger,19_THA,1997,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,11804000000.0
