date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency
2010-12-31,01_AUS,energy,2w,pj,road,passenger,bev,yearly
2010-12-31,01_AUS,energy,2w,pj,road,passenger,g,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,bev,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,cng,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,d,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,fcev,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,g,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,lpg,yearly
2010-12-31,01_AUS,energy,bus,pj,road,passenger,phevd,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,bev,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,cng,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,d,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,fcev,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,g,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,lpg,yearly
2010-12-31,01_AUS,energy,ht,pj,road,freight,phevd,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,bev,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,cng,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,d,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,fcev,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,g,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,lpg,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,freight,phevg,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,bev,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,cng,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,d,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,fcev,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,g,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,lpg,yearly
2010-12-31,01_AUS,energy,ldv,pj,road,passenger,phevg,yearly
2010-12-31,01_AUS,energy,nonspecified,pj,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,01_AUS,energy,,pj,air,freight,,yearly
2010-12-31,01_AUS,energy,,pj,air,passenger,,yearly
2010-12-31,01_AUS,energy,,pj,rail,freight,,yearly
2010-12-31,01_AUS,energy,,pj,rail,passenger,,yearly
2010-12-31,01_AUS,energy,,pj,ship,freight,,yearly
2010-12-31,01_AUS,energy,,pj,ship,passenger,,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,bev,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,cng,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,d,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,fcev,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,g,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,lpg,yearly
2010-12-31,01_AUS,freight_tonne_km,ht,freight_tonne_km,road,freight,phevd,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,bev,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,cng,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,d,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,fcev,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,g,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,lpg,yearly
2010-12-31,01_AUS,freight_tonne_km,ldv,freight_tonne_km,road,freight,phevg,yearly
2010-12-31,01_AUS,freight_tonne_km,nonspecified,freight_tonne_km,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,01_AUS,freight_tonne_km,,freight_tonne_km,air,freight,,yearly
2010-12-31,01_AUS,freight_tonne_km,,freight_tonne_km,rail,freight,,yearly
2010-12-31,01_AUS,freight_tonne_km,,freight_tonne_km,ship,freight,,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,bev,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,cng,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,d,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,fcev,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,g,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,lpg,yearly
2010-12-31,01_AUS,load,ht,tonnes,road,freight,phevd,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,bev,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,cng,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,d,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,fcev,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,g,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,lpg,yearly
2010-12-31,01_AUS,load,ldv,tonnes,road,freight,phevg,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,2w,pj_per_km,road,passenger,bev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,2w,pj_per_km,road,passenger,g,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,bev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,cng,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,d,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,fcev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,g,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,lpg,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,phevd,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,bev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,cng,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,d,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,fcev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,g,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,lpg,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ht,pj_per_km,road,freight,phevd,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,bev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,cng,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,d,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,fcev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,g,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,lpg,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,freight,phevg,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,bev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,cng,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,d,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,fcev,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,g,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,lpg,yearly
2010-12-31,01_AUS,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,phevg,yearly
2010-12-31,01_AUS,occupancy,2w,passengers,road,passenger,bev,yearly
2010-12-31,01_AUS,occupancy,2w,passengers,road,passenger,g,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,bev,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,cng,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,d,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,fcev,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,g,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,lpg,yearly
2010-12-31,01_AUS,occupancy,bus,passengers,road,passenger,phevd,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,bev,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,cng,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,d,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,fcev,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,g,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,lpg,yearly
2010-12-31,01_AUS,occupancy,ldv,passengers,road,passenger,phevg,yearly
2010-12-31,01_AUS,passenger_km,2w,passenger_km,road,passenger,bev,yearly
2010-12-31,01_AUS,passenger_km,2w,passenger_km,road,passenger,g,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,bev,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,cng,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,d,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,fcev,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,g,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,lpg,yearly
2010-12-31,01_AUS,passenger_km,bus,passenger_km,road,passenger,phevd,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,bev,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,cng,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,d,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,fcev,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,g,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,lpg,yearly
2010-12-31,01_AUS,passenger_km,ldv,passenger_km,road,passenger,phevg,yearly
2010-12-31,01_AUS,passenger_km,nonspecified,passenger_km,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,01_AUS,passenger_km,,passenger_km,air,passenger,,yearly
2010-12-31,01_AUS,passenger_km,,passenger_km,rail,passenger,,yearly
2010-12-31,01_AUS,passenger_km,,passenger_km,ship,passenger,,yearly
2010-12-31,01_AUS,stocks,2w,stocks,road,passenger,bev,yearly
2010-12-31,01_AUS,stocks,2w,stocks,road,passenger,g,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,bev,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,cng,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,d,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,fcev,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,g,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,lpg,yearly
2010-12-31,01_AUS,stocks,bus,stocks,road,passenger,phevd,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,bev,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,cng,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,d,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,fcev,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,g,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,lpg,yearly
2010-12-31,01_AUS,stocks,ht,stocks,road,freight,phevd,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,bev,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,cng,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,d,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,fcev,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,g,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,lpg,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,freight,phevg,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,bev,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,cng,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,d,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,fcev,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,g,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,lpg,yearly
2010-12-31,01_AUS,stocks,ldv,stocks,road,passenger,phevg,yearly
2010-12-31,01_AUS,stocks,nonspecified,stocks,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,01_AUS,stocks,,stocks,air,freight,,yearly
2010-12-31,01_AUS,stocks,,stocks,air,passenger,,yearly
2010-12-31,01_AUS,stocks,,stocks,rail,freight,,yearly
2010-12-31,01_AUS,stocks,,stocks,rail,passenger,,yearly
2010-12-31,01_AUS,stocks,,stocks,ship,freight,,yearly
2010-12-31,01_AUS,stocks,,stocks,ship,passenger,,yearly
2010-12-31,01_AUS,turnover_rate,2w,%,road,passenger,bev,yearly
2010-12-31,01_AUS,turnover_rate,2w,%,road,passenger,g,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,bev,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,cng,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,d,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,fcev,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,g,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,lpg,yearly
2010-12-31,01_AUS,turnover_rate,bus,%,road,passenger,phevd,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,bev,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,cng,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,d,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,fcev,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,g,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,lpg,yearly
2010-12-31,01_AUS,turnover_rate,ht,%,road,freight,phevd,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,bev,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,cng,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,d,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,fcev,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,g,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,lpg,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,freight,phevg,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,bev,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,cng,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,d,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,fcev,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,g,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,lpg,yearly
2010-12-31,01_AUS,turnover_rate,ldv,%,road,passenger,phevg,yearly
2010-12-31,02_BD,energy,2w,pj,road,passenger,bev,yearly
2010-12-31,02_BD,energy,2w,pj,road,passenger,g,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,bev,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,cng,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,d,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,fcev,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,g,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,lpg,yearly
2010-12-31,02_BD,energy,bus,pj,road,passenger,phevd,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,bev,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,cng,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,d,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,fcev,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,g,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,lpg,yearly
2010-12-31,02_BD,energy,ht,pj,road,freight,phevd,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,bev,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,cng,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,d,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,fcev,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,g,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,lpg,yearly
2010-12-31,02_BD,energy,ldv,pj,road,freight,phevg,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,bev,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,cng,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,d,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,fcev,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,g,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,lpg,yearly
2010-12-31,02_BD,energy,ldv,pj,road,passenger,phevg,yearly
2010-12-31,02_BD,energy,nonspecified,pj,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,02_BD,energy,,pj,air,freight,,yearly
2010-12-31,02_BD,energy,,pj,air,passenger,,yearly
2010-12-31,02_BD,energy,,pj,rail,freight,,yearly
2010-12-31,02_BD,energy,,pj,rail,passenger,,yearly
2010-12-31,02_BD,energy,,pj,ship,freight,,yearly
2010-12-31,02_BD,energy,,pj,ship,passenger,,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,bev,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,cng,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,d,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,fcev,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,g,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,lpg,yearly
2010-12-31,02_BD,freight_tonne_km,ht,freight_tonne_km,road,freight,phevd,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,bev,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,cng,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,d,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,fcev,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,g,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,lpg,yearly
2010-12-31,02_BD,freight_tonne_km,ldv,freight_tonne_km,road,freight,phevg,yearly
2010-12-31,02_BD,freight_tonne_km,nonspecified,freight_tonne_km,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,02_BD,freight_tonne_km,,freight_tonne_km,air,freight,,yearly
2010-12-31,02_BD,freight_tonne_km,,freight_tonne_km,rail,freight,,yearly
2010-12-31,02_BD,freight_tonne_km,,freight_tonne_km,ship,freight,,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,bev,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,cng,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,d,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,fcev,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,g,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,lpg,yearly
2010-12-31,02_BD,load,ht,tonnes,road,freight,phevd,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,bev,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,cng,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,d,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,fcev,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,g,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,lpg,yearly
2010-12-31,02_BD,load,ldv,tonnes,road,freight,phevg,yearly
2010-12-31,02_BD,new_vehicle_efficiency,2w,pj_per_km,road,passenger,bev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,2w,pj_per_km,road,passenger,g,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,bev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,cng,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,d,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,fcev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,g,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,lpg,yearly
2010-12-31,02_BD,new_vehicle_efficiency,bus,pj_per_km,road,passenger,phevd,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,bev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,cng,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,d,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,fcev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,g,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,lpg,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ht,pj_per_km,road,freight,phevd,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,bev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,cng,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,d,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,fcev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,g,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,lpg,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,freight,phevg,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,bev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,cng,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,d,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,fcev,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,g,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,lpg,yearly
2010-12-31,02_BD,new_vehicle_efficiency,ldv,pj_per_km,road,passenger,phevg,yearly
2010-12-31,02_BD,occupancy,2w,passengers,road,passenger,bev,yearly
2010-12-31,02_BD,occupancy,2w,passengers,road,passenger,g,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,bev,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,cng,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,d,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,fcev,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,g,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,lpg,yearly
2010-12-31,02_BD,occupancy,bus,passengers,road,passenger,phevd,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,bev,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,cng,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,d,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,fcev,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,g,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,lpg,yearly
2010-12-31,02_BD,occupancy,ldv,passengers,road,passenger,phevg,yearly
2010-12-31,02_BD,passenger_km,2w,passenger_km,road,passenger,bev,yearly
2010-12-31,02_BD,passenger_km,2w,passenger_km,road,passenger,g,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,bev,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,cng,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,d,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,fcev,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,g,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,lpg,yearly
2010-12-31,02_BD,passenger_km,bus,passenger_km,road,passenger,phevd,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,bev,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,cng,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,d,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,fcev,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,g,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,lpg,yearly
2010-12-31,02_BD,passenger_km,ldv,passenger_km,road,passenger,phevg,yearly
2010-12-31,02_BD,passenger_km,nonspecified,passenger_km,nonspecified,nonspecified,nonspecified,yearly
2010-12-31,02_BD,passenger_km,,passenger_km,air,passenger,,yearly
2010-12-31,02_BD,passenger_km,,passenger_km,rail,passenger,,yearly
2010-12-31,02_BD,passenger_km,,passenger_km,ship,passenger,,yearly
2010-12-31,02_BD,stocks,2w,stocks,road,passenger,bev,yearly
2010-12-31,02_BD,stocks,2w,stocks,road,passenger,g,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,bev,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,cng,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,d,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,fcev,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,g,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,lpg,yearly
2010-12-31,02_BD,stocks,bus,stocks,road,passenger,phevd,yearly
2010-12-31,02_BD,stocks,ht,stocks,road,freight,bev,yearly
2010-12-31,02_BD,stocks,ht,stocks,road,freight,cng,yearly
2010-12-31,02_BD,stocks,ht,stocks,road,freight,d,yearly
2010-12-31,02_BD,stocks,ht,stocks,road,freight,fcev,yearly
2010-12-31,02_BD,stocks,ht,stocks,road,freight,g,yearly
2010-12-31,02_BD,stocks,ht,stocks,road,freight,lpg,yearly
