Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Dataset,Scope,Comments,Fuel,Source,Value
road,freight,2w,bev,2021-12-31,01_AUS,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2022-12-31,01_AUS,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2023-12-31,01_AUS,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2010-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2011-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2012-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2013-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2014-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2015-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2016-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2017-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2018-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2019-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2020-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2021-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2022-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2023-12-31,02_BD,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2010-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2011-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2012-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2013-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2014-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2015-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2016-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2017-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2018-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2019-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2020-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2021-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2022-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2023-12-31,03_CDA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2010-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2011-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2012-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2013-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2014-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2015-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2016-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2017-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2018-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2019-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2020-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2021-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2022-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2023-12-31,04_CHL,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2010-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2011-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2012-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2013-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2014-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2015-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2016-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2017-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2018-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2019-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2020-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2021-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2022-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2023-12-31,05_PRC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2010-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2011-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2012-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2013-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2014-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2015-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2016-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2017-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2018-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2019-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2020-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2021-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2022-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2023-12-31,06_HKC,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2010-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2011-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2012-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2013-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2014-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2015-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2016-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2017-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2018-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2019-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2020-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
road,freight,2w,bev,2021-12-31,07_INA,Yearly,New_vehicle_efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.46636
