Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,passenger,ldv,fcev,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,21_VN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,02_BD,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,02_BD,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,02_BD,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,g,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,07_INA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,fcev,2017-12-31,07_INA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,09_ROK,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,10_MAS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,10_MAS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,11_MEX,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,12_NZ,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,fcev,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,15_RP,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,15_RP,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,15_RP,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,fcev,2017-12-31,16_RUS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,17_SIN,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,17_SIN,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,17_SIN,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,18_CT,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,18_CT,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,18_CT,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,phevd,2017-12-31,21_VN,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,02_BD,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,10_MAS,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,10_MAS,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,13_PNG,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
